threshold_policy,threshold,accuracy,precision,recall,f1_toxic
Default,0.5,0.9371693121693122,0.5901020861074123,0.6736762097795794,0.6291257541701171
Validation-selected,0.6223688721656799,0.9413981080647748,0.6247256766642283,0.649100582721054,0.6366799204771372
