metric,point_estimate,ci_lower_95,ci_upper_95,bootstrap_iterations
Precision,0.6247256766642283,0.6120226216851381,0.6372198868434157,1000
Recall,0.649100582721054,0.6341525209019508,0.6632885736002027,1000
F1 toxic,0.6366799204771372,0.6248702563495573,0.6487840948963642,1000
PR-AUC,0.6933742744367516,0.6790414866806643,0.7057013771852452,1000
ROC-AUC,0.9375346515942872,0.9334140509755303,0.9412633416512506,1000
